Glycan	Mass
HexNAc(5)Hex(6)Fuc(4)	2571.9454
HexNAc(5)Hex(6)Fuc(2)NeuAc(1)	2570.925
HexNAc(5)Hex(6)NeuAc(2)	2569.9046
HexNAc(7)Hex(7)	2555.9254
HexNAc(5)Hex(5)Fuc(1)NeuAc(2)	2553.9097
HexNAc(4)Hex(8)Fuc(1)NeuAc(1)	2545.8933
HexNAc(7)Hex(6)Fuc(1)	2539.9305
HexNAc(4)Hex(7)NeuAc(2)	2528.878
HexNAc(6)Hex(7)Fuc(1)	2498.9039
HexNAc(6)Hex(6)NeuAc(1)	2481.8886
HexNAc(9)Hex(4)	2475.9258
HexNAc(6)Hex(5)Fuc(1)NeuAc(1)	2465.8937
HexNAc(9)Hex(3)Fuc(1)	2459.9309
HexNAc(5)Hex(8)Fuc(1)	2457.8773
HexNAc(6)Hex(4)NeuAc(2)	2448.8784
HexNAc(8)Hex(5)	2434.8992
HexNAc(6)Hex(3)Fuc(1)NeuAc(2)	2432.8835
HexNAc(5)Hex(6)Fuc(3)	2425.8875
HexNAc(5)Hex(6)Fuc(1)NeuAc(1)	2424.8671
HexNAc(5)Hex(5)Fuc(2)NeuAc(1)	2408.8722
HexNAc(5)Hex(5)NeuAc(2)	2407.8518
HexNAc(7)Hex(6)	2393.8726
HexNAc(5)Hex(4)Fuc(1)NeuAc(2)	2391.8569
HexNAc(4)Hex(6)NeuAc(2)	2366.8252
HexNAc(4)Hex(5)Fuc(5)	2352.8711
HexNAc(6)Hex(7)	2352.846
HexNAc(4)Hex(5)Fuc(1)NeuAc(2)	2350.8303
HexNAc(6)Hex(6)Fuc(1)	2336.8511
HexNAc(6)Hex(5)Fuc(2)	2320.8562
HexNAc(9)Hex(3)	2313.873
HexNAc(6)Hex(3)Fuc(2)NeuAc(1)	2287.846
HexNAc(5)Hex(6)Fuc(2)	2279.8296
HexNAc(5)Hex(6)NeuAc(1)	2278.8092
HexNAc(4)Hex(9)	2270.7928
HexNAc(5)Hex(5)Fuc(3)	2263.8347
HexNAc(5)Hex(5)Fuc(1)NeuAc(1)	2262.8143
HexNAc(8)Hex(3)Fuc(1)	2256.8515
HexNAc(4)Hex(8)Fuc(1)	2254.7979
HexNAc(5)Hex(4)Fuc(2)NeuAc(1)	2246.8194
HexNAc(5)Hex(4)NeuAc(2)	2245.799
HexNAc(4)Hex(7)NeuAc(1)	2237.7826
HexNAc(7)Hex(5)	2231.8198
HexNAc(4)Hex(6)Fuc(3)	2222.8081
HexNAc(4)Hex(6)Fuc(1)NeuAc(1)	2221.7877
HexNAc(7)Hex(4)Fuc(1)	2215.8249
HexNAc(4)Hex(5)Fuc(4)	2206.8132
HexNAc(4)Hex(5)Fuc(2)NeuAc(1)	2205.7928
HexNAc(4)Hex(5)NeuAc(2)	2204.7724
HexNAc(6)Hex(6)	2190.7932
HexNAc(6)Hex(5)Fuc(1)	2174.7983
HexNAc(6)Hex(4)Fuc(2)	2158.8034
HexNAc(6)Hex(4)NeuAc(1)	2157.783
HexNAc(6)Hex(3)Fuc(3)	2142.8085
HexNAc(6)Hex(3)Fuc(1)NeuAc(1)	2141.7881
HexNAc(5)Hex(6)Fuc(1)	2133.7717
HexNAc(5)Hex(5)Fuc(2)	2117.7768
HexNAc(5)Hex(5)NeuAc(1)	2116.7564
HexNAc(8)Hex(3)	2110.7936
HexNAc(4)Hex(8)	2108.74
HexNAc(5)Hex(4)Fuc(3)	2101.7819
HexNAc(5)Hex(4)Fuc(1)NeuAc(1)	2100.7615
HexNAc(4)Hex(7)Fuc(1)	2092.7451
HexNAc(4)Hex(6)Fuc(2)	2076.7502
HexNAc(4)Hex(6)NeuAc(1)	2075.7298
HexNAc(7)Hex(4)	2069.767
HexNAc(4)Hex(5)Fuc(3)	2060.7553
HexNAc(4)Hex(5)Fuc(1)NeuAc(1)	2059.7349
HexNAc(7)Hex(3)Fuc(1)	2053.7721
HexNAc(4)Hex(4)Fuc(2)NeuAc(1)	2043.74
HexNAc(4)Hex(4)NeuAc(2)	2042.7196
HexNAc(6)Hex(5)	2028.7404
HexNAc(2)Hex(10)	2026.6868
HexNAc(3)Hex(6)Fuc(3)	2019.7287
HexNAc(3)Hex(6)Fuc(1)NeuAc(1)	2018.7083
HexNAc(6)Hex(4)Fuc(1)	2012.7455
HexNAc(2)Hex(9)Fuc(1)	2010.6919
HexNAc(6)Hex(3)Fuc(2)	1996.7506
HexNAc(5)Hex(6)	1987.7138
HexNAc(5)Hex(5)Fuc(1)	1971.7189
HexNAc(5)Hex(4)Fuc(2)	1955.724
