Local Date/Time	Relative Time	valve-b:angle [degrees]
06/15/2022 13:23:01	00:00:00.001	240.000
06/15/2022 13:23:01	00:00:00.031	240.000
06/15/2022 13:23:01	00:00:00.099	240.000
06/15/2022 13:23:01	00:00:00.169	240.000
06/15/2022 13:23:01	00:00:00.241	240.000
06/15/2022 13:23:01	00:00:00.315	240.000
06/15/2022 13:23:01	00:00:00.355	240.000
06/15/2022 13:23:01	00:00:00.375	240.000
06/15/2022 13:23:01	00:00:00.401	240.000
06/15/2022 13:23:01	00:00:00.417	240.000
06/15/2022 13:23:01	00:00:00.435	240.000
06/15/2022 13:23:01	00:00:00.457	240.000
06/15/2022 13:23:01	00:00:00.479	240.000
06/15/2022 13:23:01	00:00:00.505	240.000
06/15/2022 13:23:01	00:00:00.521	240.000
06/15/2022 13:23:01	00:00:00.541	240.000
06/15/2022 13:23:01	00:00:00.593	240.000
06/15/2022 13:23:01	00:00:00.605	240.000
06/15/2022 13:23:02	00:00:00.635	240.000
06/15/2022 13:23:02	00:00:00.655	240.000
06/15/2022 13:23:02	00:00:00.675	240.000
06/15/2022 13:23:02	00:00:00.697	240.000
06/15/2022 13:23:02	00:00:00.721	240.000
06/15/2022 13:23:02	00:00:00.746	240.000
06/15/2022 13:23:02	00:00:00.804	240.000
06/15/2022 13:23:02	00:00:00.830	240.000
06/15/2022 13:23:02	00:00:00.852	240.000
06/15/2022 13:23:02	00:00:00.884	240.000
06/15/2022 13:23:02	00:00:00.900	240.000
06/15/2022 13:23:02	00:00:00.918	240.000
06/15/2022 13:23:02	00:00:00.938	240.000
06/15/2022 13:23:02	00:00:00.961	240.000
06/15/2022 13:23:02	00:00:00.984	240.000
06/15/2022 13:23:02	00:00:01.010	240.000
06/15/2022 13:23:02	00:00:01.038	240.000
06/15/2022 13:23:02	00:00:01.068	240.000
06/15/2022 13:23:02	00:00:01.100	240.000
06/15/2022 13:23:02	00:00:01.134	240.000
06/15/2022 13:23:02	00:00:01.170	240.000
06/15/2022 13:23:02	00:00:01.208	240.000
06/15/2022 13:23:02	00:00:01.248	240.000
06/15/2022 13:23:02	00:00:01.290	240.000
06/15/2022 13:23:02	00:00:01.334	240.000
06/15/2022 13:23:02	00:00:01.380	240.000
06/15/2022 13:23:02	00:00:01.429	240.000
06/15/2022 13:23:02	00:00:01.479	240.000
06/15/2022 13:23:02	00:00:01.533	240.000
06/15/2022 13:23:02	00:00:01.587	240.000
06/15/2022 13:23:03	00:00:01.643	240.000
06/15/2022 13:23:03	00:00:01.701	240.000
06/15/2022 13:23:03	00:00:01.761	240.000
06/15/2022 13:23:03	00:00:01.823	240.000
06/15/2022 13:23:03	00:00:01.887	240.000
06/15/2022 13:23:03	00:00:01.953	240.000
06/15/2022 13:23:03	00:00:02.021	240.000
06/15/2022 13:23:03	00:00:02.085	240.000
06/15/2022 13:23:03	00:00:02.089	240.000
