Local Date/Time	Relative Time	pump-b:pressure [bar]
06/15/2022 13:23:46	00:00:45.854	0.749
06/15/2022 13:23:47	00:00:46.854	0.749
06/15/2022 13:23:48	00:00:46.854	0.749
06/15/2022 13:23:48	00:00:47.156	0.868
06/15/2022 13:23:48	00:00:47.768	0.749
06/15/2022 13:23:49	00:00:48.885	0.749
06/15/2022 13:23:50	00:00:49.886	0.749
06/15/2022 13:23:51	00:00:49.886	0.749
06/15/2022 13:23:51	00:00:50.002	0.868
06/15/2022 13:23:51	00:00:50.410	0.749
06/15/2022 13:23:52	00:00:51.888	0.749
06/15/2022 13:23:54	00:00:52.920	0.749
06/15/2022 13:23:55	00:00:53.917	0.749
06/15/2022 13:23:56	00:00:53.917	0.749
06/15/2022 13:23:56	00:00:53.958	0.611
06/15/2022 13:23:56	00:00:54.158	0.749
06/15/2022 13:23:57	00:00:55.932	0.749
06/15/2022 13:23:58	00:00:56.933	0.749
06/15/2022 13:23:59	00:00:57.934	0.749
06/15/2022 13:24:00	00:00:58.934	0.749
06/15/2022 13:24:01	00:00:59.936	0.749
06/15/2022 13:24:02	00:01:00.937	0.749
06/15/2022 13:24:03	00:01:00.937	0.749
06/15/2022 13:24:03	00:01:01.362	0.631
06/15/2022 13:24:04	00:01:02.175	0.749
06/15/2022 13:24:05	00:01:03.947	0.749
06/15/2022 13:24:06	00:01:04.949	0.749
06/15/2022 13:24:07	00:01:05.962	0.749
06/15/2022 13:24:08	00:01:06.963	0.749
06/15/2022 13:24:09	00:01:07.979	0.749
06/15/2022 13:24:10	00:01:08.994	0.749
06/15/2022 13:24:11	00:01:10.009	0.749
06/15/2022 13:24:12	00:01:11.010	0.749
06/15/2022 13:24:13	00:01:12.011	0.749
06/15/2022 13:24:14	00:01:13.012	0.749
06/15/2022 13:24:15	00:01:14.013	0.749
06/15/2022 13:24:16	00:01:15.028	0.749
06/15/2022 13:24:17	00:01:16.042	0.749
06/15/2022 13:24:18	00:01:17.044	0.749
06/15/2022 13:24:19	00:01:18.043	0.749
06/15/2022 13:24:20	00:01:19.046	0.749
06/15/2022 13:24:21	00:01:20.059	0.749
06/15/2022 13:24:22	00:01:21.071	0.749
06/15/2022 13:24:23	00:01:22.073	0.749
06/15/2022 13:24:24	00:01:23.074	0.749
06/15/2022 13:24:25	00:01:24.075	0.749
06/15/2022 13:24:26	00:01:25.075	0.749
06/15/2022 13:24:27	00:01:26.090	0.749
06/15/2022 13:24:28	00:01:27.089	0.749
06/15/2022 13:24:29	00:01:27.089	0.749
06/15/2022 13:24:29	00:01:27.317	0.887
06/15/2022 13:24:29	00:01:27.824	0.730
06/15/2022 13:24:30	00:01:29.091	0.730
06/15/2022 13:24:31	00:01:30.103	0.730
06/15/2022 13:24:32	00:01:30.103	0.730
06/15/2022 13:24:32	00:01:31.066	0.611
06/15/2022 13:24:33	00:01:31.467	0.769
06/15/2022 13:24:34	00:01:33.107	0.769
06/15/2022 13:24:35	00:01:34.120	0.769
06/15/2022 13:24:36	00:01:35.134	0.769
06/15/2022 13:24:37	00:01:35.134	0.769
06/15/2022 13:24:37	00:01:35.625	0.631
06/15/2022 13:24:38	00:01:36.540	0.749
06/15/2022 13:24:39	00:01:38.134	0.749
06/15/2022 13:24:40	00:01:39.136	0.749
06/15/2022 13:24:41	00:01:39.136	0.749
06/15/2022 13:24:41	00:01:39.577	0.887
06/15/2022 13:24:41	00:01:39.777	0.769
06/15/2022 13:24:42	00:01:41.150	0.769
06/15/2022 13:24:43	00:01:42.151	0.769
06/15/2022 13:24:44	00:01:43.166	0.769
06/15/2022 13:24:45	00:01:44.166	0.769
06/15/2022 13:24:46	00:01:45.168	0.769
06/15/2022 13:24:47	00:01:46.168	0.769
06/15/2022 13:24:48	00:01:47.170	0.769
06/15/2022 13:24:49	00:01:47.170	0.769
06/15/2022 13:24:49	00:01:47.991	0.651
06/15/2022 13:24:50	00:01:49.181	0.651
06/15/2022 13:24:51	00:01:49.181	0.651
06/15/2022 13:24:51	00:01:49.207	0.789
06/15/2022 13:24:51	00:01:49.913	0.651
06/15/2022 13:24:52	00:01:50.322	0.769
06/15/2022 13:24:53	00:01:52.228	0.769
06/15/2022 13:24:54	00:01:53.244	0.769
06/15/2022 13:24:55	00:01:53.244	0.769
06/15/2022 13:24:55	00:01:53.927	0.651
06/15/2022 13:24:56	00:01:54.677	0.769
06/15/2022 13:24:57	00:01:55.491	0.887
06/15/2022 13:24:57	00:01:56.027	0.749
06/15/2022 13:24:58	00:01:57.276	0.749
06/15/2022 13:24:59	00:01:58.275	0.749
06/15/2022 13:25:00	00:01:59.278	0.749
06/15/2022 13:25:01	00:01:59.278	0.749
06/15/2022 13:25:01	00:01:59.605	0.631
06/15/2022 13:25:01	00:02:00.014	0.769
06/15/2022 13:25:02	00:02:01.023	0.651
06/15/2022 13:25:03	00:02:01.533	0.769
06/15/2022 13:25:04	00:02:03.305	0.769
06/15/2022 13:25:05	00:02:04.306	0.769
06/15/2022 13:25:06	00:02:05.321	0.769
06/15/2022 13:25:07	00:02:06.337	0.769
06/15/2022 13:25:08	00:02:07.352	0.769
06/15/2022 13:25:09	00:02:08.369	0.769
06/15/2022 13:25:10	00:02:09.383	0.769
06/15/2022 13:25:11	00:02:10.383	0.769
06/15/2022 13:25:12	00:02:11.383	0.769
06/15/2022 13:25:13	00:02:11.383	0.769
06/15/2022 13:25:13	00:02:11.971	0.631
06/15/2022 13:25:14	00:02:12.486	0.749
06/15/2022 13:25:15	00:02:14.107	0.631
06/15/2022 13:25:15	00:02:14.307	0.749
06/15/2022 13:25:16	00:02:15.400	0.749
06/15/2022 13:25:17	00:02:16.415	0.749
06/15/2022 13:25:18	00:02:16.415	0.749
06/15/2022 13:25:18	00:02:17.353	0.631
06/15/2022 13:25:19	00:02:17.863	0.749
06/15/2022 13:25:20	00:02:19.431	0.749
06/15/2022 13:25:21	00:02:20.432	0.749
