Local Date/Time	Relative Time	pump-a:volume [%]
06/15/2022 13:23:36	00:00:35.738	72.627
06/15/2022 13:23:37	00:00:35.816	72.650
06/15/2022 13:23:37	00:00:35.896	72.673
06/15/2022 13:23:37	00:00:35.978	72.705
06/15/2022 13:23:37	00:00:36.062	72.729
06/15/2022 13:23:37	00:00:36.148	72.750
06/15/2022 13:23:37	00:00:36.236	72.772
06/15/2022 13:23:37	00:00:36.326	72.806
06/15/2022 13:23:37	00:00:36.419	72.828
06/15/2022 13:23:37	00:00:36.514	72.862
06/15/2022 13:23:37	00:00:36.610	72.884
06/15/2022 13:23:37	00:00:36.709	72.918
06/15/2022 13:23:37	00:00:36.809	72.952
06/15/2022 13:23:38	00:00:36.911	72.974
06/15/2022 13:23:38	00:00:37.013	73.008
06/15/2022 13:23:38	00:00:37.114	73.040
06/15/2022 13:23:38	00:00:37.216	73.064
06/15/2022 13:23:38	00:00:37.318	73.096
06/15/2022 13:23:38	00:00:37.418	73.130
06/15/2022 13:23:38	00:00:37.518	73.152
06/15/2022 13:23:38	00:00:37.620	73.186
06/15/2022 13:23:38	00:00:37.722	73.219
06/15/2022 13:23:39	00:00:37.824	73.253
06/15/2022 13:23:39	00:00:37.926	73.275
06/15/2022 13:23:39	00:00:38.028	73.309
06/15/2022 13:23:39	00:00:38.131	73.343
06/15/2022 13:23:39	00:00:38.233	73.364
06/15/2022 13:23:39	00:00:38.335	73.398
06/15/2022 13:23:39	00:00:38.436	73.432
06/15/2022 13:23:39	00:00:38.536	73.454
06/15/2022 13:23:39	00:00:38.636	73.487
06/15/2022 13:23:39	00:00:38.738	73.521
06/15/2022 13:23:40	00:00:38.838	73.543
06/15/2022 13:23:40	00:00:38.938	73.577
06/15/2022 13:23:40	00:00:39.040	73.610
06/15/2022 13:23:40	00:00:39.142	73.633
06/15/2022 13:23:40	00:00:39.244	73.666
06/15/2022 13:23:40	00:00:39.346	73.699
06/15/2022 13:23:40	00:00:39.448	73.734
06/15/2022 13:23:40	00:00:39.551	73.755
06/15/2022 13:23:40	00:00:39.653	73.790
06/15/2022 13:23:40	00:00:39.754	73.822
06/15/2022 13:23:41	00:00:39.854	73.846
06/15/2022 13:23:41	00:00:39.956	73.878
06/15/2022 13:23:41	00:00:40.056	73.912
06/15/2022 13:23:41	00:00:40.156	73.934
06/15/2022 13:23:41	00:00:40.256	73.968
06/15/2022 13:23:41	00:00:40.356	74.001
06/15/2022 13:23:41	00:00:40.458	74.024
06/15/2022 13:23:41	00:00:40.560	74.057
06/15/2022 13:23:41	00:00:40.662	74.090
06/15/2022 13:23:41	00:00:40.764	74.112
06/15/2022 13:23:42	00:00:40.866	74.146
06/15/2022 13:23:42	00:00:40.969	74.181
06/15/2022 13:23:42	00:00:41.071	74.202
06/15/2022 13:23:42	00:00:41.173	74.236
06/15/2022 13:23:42	00:00:41.274	74.269
06/15/2022 13:23:42	00:00:41.374	74.303
06/15/2022 13:23:42	00:00:41.476	74.325
06/15/2022 13:23:42	00:00:41.576	74.359
06/15/2022 13:23:42	00:00:41.676	74.392
06/15/2022 13:23:42	00:00:41.778	74.415
06/15/2022 13:23:43	00:00:41.880	74.448
06/15/2022 13:23:43	00:00:41.982	74.481
06/15/2022 13:23:43	00:00:42.084	74.504
06/15/2022 13:23:43	00:00:42.186	74.537
06/15/2022 13:23:43	00:00:42.289	74.572
06/15/2022 13:23:43	00:00:42.391	74.593
06/15/2022 13:23:43	00:00:42.493	74.627
06/15/2022 13:23:43	00:00:42.594	74.660
06/15/2022 13:23:43	00:00:42.694	74.683
06/15/2022 13:23:43	00:00:42.796	74.715
06/15/2022 13:23:44	00:00:42.898	74.749
06/15/2022 13:23:44	00:00:42.998	74.782
06/15/2022 13:23:44	00:00:43.098	74.805
06/15/2022 13:23:44	00:00:43.200	74.839
06/15/2022 13:23:44	00:00:43.302	74.871
06/15/2022 13:23:44	00:00:43.404	74.892
06/15/2022 13:23:44	00:00:43.506	74.926
06/15/2022 13:23:44	00:00:43.608	74.959
06/15/2022 13:23:44	00:00:43.711	74.991
06/15/2022 13:23:44	00:00:43.813	75.010
06/15/2022 13:23:45	00:00:43.914	75.037
06/15/2022 13:23:45	00:00:44.016	75.062
06/15/2022 13:23:45	00:00:44.116	75.077
06/15/2022 13:23:45	00:00:44.216	75.099
06/15/2022 13:23:45	00:00:44.316	75.119
06/15/2022 13:23:45	00:00:44.416	75.131
06/15/2022 13:23:45	00:00:44.518	75.149
06/15/2022 13:23:45	00:00:44.620	75.165
06/15/2022 13:23:45	00:00:44.722	75.175
06/15/2022 13:23:45	00:00:44.824	75.188
06/15/2022 13:23:46	00:00:44.926	75.201
06/15/2022 13:23:46	00:00:45.131	75.221
06/15/2022 13:23:46	00:00:45.233	75.231
