Local Date/Time	Relative Time	pump-a:temperature [°C]
06/15/2022 13:23:01	00:00:00.001	25.063
06/15/2022 13:23:02	00:00:01.620	25.063
06/15/2022 13:23:03	00:00:02.623	25.063
06/15/2022 13:23:04	00:00:03.634	25.063
06/15/2022 13:23:05	00:00:04.636	25.063
06/15/2022 13:23:06	00:00:05.638	25.063
06/15/2022 13:23:07	00:00:06.650	25.063
06/15/2022 13:23:08	00:00:07.650	25.063
06/15/2022 13:23:09	00:00:08.650	25.063
06/15/2022 13:23:10	00:00:09.666	25.063
06/15/2022 13:23:11	00:00:10.668	25.063
06/15/2022 13:23:12	00:00:11.668	25.063
06/15/2022 13:23:13	00:00:12.682	25.063
06/15/2022 13:23:14	00:00:13.682	25.063
06/15/2022 13:23:15	00:00:14.683	25.063
06/15/2022 13:23:16	00:00:15.683	25.063
06/15/2022 13:23:17	00:00:16.700	25.063
06/15/2022 13:23:18	00:00:17.712	25.063
06/15/2022 13:23:19	00:00:18.716	25.063
06/15/2022 13:23:20	00:00:19.728	25.063
06/15/2022 13:23:21	00:00:20.728	25.063
06/15/2022 13:23:22	00:00:21.730	25.063
06/15/2022 13:23:23	00:00:22.746	25.063
06/15/2022 13:23:24	00:00:23.761	25.063
06/15/2022 13:23:25	00:00:24.761	25.063
06/15/2022 13:23:26	00:00:25.762	25.063
06/15/2022 13:23:27	00:00:26.775	25.063
06/15/2022 13:23:28	00:00:27.776	25.063
06/15/2022 13:23:29	00:00:28.777	25.063
06/15/2022 13:23:30	00:00:29.782	25.063
06/15/2022 13:23:31	00:00:30.790	25.063
06/15/2022 13:23:32	00:00:31.791	25.063
06/15/2022 13:23:33	00:00:32.792	25.063
06/15/2022 13:23:35	00:00:33.952	25.063
06/15/2022 13:23:35	00:00:34.807	25.063
06/15/2022 13:23:36	00:00:35.807	25.063
06/15/2022 13:23:37	00:00:36.822	25.063
06/15/2022 13:23:38	00:00:37.822	25.063
06/15/2022 13:23:39	00:00:38.823	25.063
06/15/2022 13:23:40	00:00:39.825	25.063
06/15/2022 13:23:41	00:00:40.838	25.063
06/15/2022 13:23:42	00:00:41.839	25.063
06/15/2022 13:23:43	00:00:42.840	25.063
06/15/2022 13:23:44	00:00:43.841	25.063
06/15/2022 13:23:45	00:00:44.852	25.063
06/15/2022 13:23:46	00:00:45.854	25.063
06/15/2022 13:23:47	00:00:46.854	25.063
06/15/2022 13:23:48	00:00:47.870	25.063
06/15/2022 13:23:49	00:00:48.884	25.063
06/15/2022 13:23:50	00:00:49.886	25.063
06/15/2022 13:23:51	00:00:50.888	25.063
06/15/2022 13:23:52	00:00:51.888	25.063
06/15/2022 13:23:54	00:00:52.920	25.063
06/15/2022 13:23:55	00:00:53.917	25.063
06/15/2022 13:23:56	00:00:54.932	25.063
06/15/2022 13:23:57	00:00:55.932	25.063
06/15/2022 13:23:58	00:00:56.933	25.063
06/15/2022 13:23:59	00:00:57.934	25.063
06/15/2022 13:24:00	00:00:58.934	25.063
06/15/2022 13:24:01	00:00:59.936	25.063
06/15/2022 13:24:02	00:01:00.937	25.063
06/15/2022 13:24:03	00:01:01.946	25.063
06/15/2022 13:24:04	00:01:02.946	25.063
06/15/2022 13:24:05	00:01:03.947	25.063
06/15/2022 13:24:06	00:01:04.949	25.063
06/15/2022 13:24:07	00:01:05.962	25.063
06/15/2022 13:24:08	00:01:06.963	25.063
06/15/2022 13:24:09	00:01:07.979	25.063
06/15/2022 13:24:10	00:01:08.994	25.063
06/15/2022 13:24:11	00:01:10.009	25.063
06/15/2022 13:24:12	00:01:11.010	25.063
06/15/2022 13:24:13	00:01:12.011	25.063
06/15/2022 13:24:14	00:01:13.012	25.063
06/15/2022 13:24:15	00:01:14.012	25.063
06/15/2022 13:24:16	00:01:15.028	25.063
06/15/2022 13:24:17	00:01:16.042	25.063
06/15/2022 13:24:18	00:01:17.044	25.063
06/15/2022 13:24:19	00:01:18.043	25.063
06/15/2022 13:24:20	00:01:19.045	25.063
06/15/2022 13:24:21	00:01:20.059	25.063
06/15/2022 13:24:22	00:01:21.071	25.063
06/15/2022 13:24:23	00:01:22.073	25.063
06/15/2022 13:24:24	00:01:23.074	25.063
06/15/2022 13:24:25	00:01:24.075	25.063
06/15/2022 13:24:26	00:01:25.075	25.063
06/15/2022 13:24:27	00:01:26.090	25.063
06/15/2022 13:24:28	00:01:27.089	25.063
06/15/2022 13:24:29	00:01:28.091	25.063
06/15/2022 13:24:30	00:01:29.091	25.063
06/15/2022 13:24:31	00:01:30.102	25.063
06/15/2022 13:24:32	00:01:31.104	25.063
06/15/2022 13:24:33	00:01:32.104	25.063
06/15/2022 13:24:34	00:01:33.106	25.063
06/15/2022 13:24:35	00:01:34.119	25.063
06/15/2022 13:24:36	00:01:35.133	25.063
06/15/2022 13:24:37	00:01:36.134	25.063
06/15/2022 13:24:38	00:01:37.134	25.063
06/15/2022 13:24:39	00:01:38.134	25.063
06/15/2022 13:24:40	00:01:39.135	25.063
06/15/2022 13:24:41	00:01:40.137	25.063
06/15/2022 13:24:42	00:01:41.149	25.063
06/15/2022 13:24:43	00:01:42.151	25.063
06/15/2022 13:24:44	00:01:43.165	25.063
06/15/2022 13:24:45	00:01:44.166	25.063
06/15/2022 13:24:46	00:01:45.168	25.063
06/15/2022 13:24:47	00:01:46.168	25.063
06/15/2022 13:24:48	00:01:47.170	25.063
06/15/2022 13:24:49	00:01:48.181	25.063
06/15/2022 13:24:50	00:01:49.181	25.063
06/15/2022 13:24:51	00:01:50.199	25.063
06/15/2022 13:24:52	00:01:51.213	25.063
06/15/2022 13:24:53	00:01:52.228	25.063
06/15/2022 13:24:54	00:01:53.244	25.063
06/15/2022 13:24:55	00:01:54.246	25.063
06/15/2022 13:24:56	00:01:55.260	25.063
06/15/2022 13:24:57	00:01:56.261	25.063
06/15/2022 13:24:58	00:01:57.276	25.063
06/15/2022 13:24:59	00:01:58.275	25.063
06/15/2022 13:25:00	00:01:59.277	25.063
06/15/2022 13:25:01	00:02:00.292	25.063
06/15/2022 13:25:02	00:02:01.292	25.063
06/15/2022 13:25:03	00:02:02.305	25.063
06/15/2022 13:25:04	00:02:03.305	25.063
06/15/2022 13:25:05	00:02:04.306	25.063
06/15/2022 13:25:06	00:02:05.321	25.063
06/15/2022 13:25:07	00:02:06.337	25.063
06/15/2022 13:25:08	00:02:07.352	25.063
06/15/2022 13:25:09	00:02:08.368	25.063
06/15/2022 13:25:10	00:02:09.383	25.063
06/15/2022 13:25:11	00:02:10.383	25.063
06/15/2022 13:25:12	00:02:11.383	25.063
06/15/2022 13:25:13	00:02:12.386	25.063
06/15/2022 13:25:14	00:02:13.385	25.063
06/15/2022 13:25:15	00:02:14.399	25.063
06/15/2022 13:25:16	00:02:15.400	25.063
06/15/2022 13:25:17	00:02:16.415	25.063
06/15/2022 13:25:18	00:02:17.431	25.063
06/15/2022 13:25:19	00:02:18.430	25.063
